name,occupation,count,birthtime,birthplace,location,point,chart
Albert_Kluyver,r_chemists,36,"['1888', 1, '3', '11:00']","Breda, Netherlands","Breda, Noord-Brabant, Nederland","('51n5888', '4e776')",<flatlib.chart.Chart object at 0x62465e240>
Fritz_O._Laquer,r_chemists,37,"['1888', 1, '15', '06:00']","Frankfurt, Germany","Frankfurt am Main, Hessen, Deutschland","('50n1106', '8e6821')",<flatlib.chart.Chart object at 0x624665b00>
Le_Bel._Achille,r_chemists,38,"['1847', 1, '21', '23:00']","Merkwiller-Pechelbronn, France","Merkwiller-Pechelbronn, Haguenau-Wissembourg, Bas-Rhin, Grand Est, France métropolitaine, 67250, France","('48n9398', '7e8264')",<flatlib.chart.Chart object at 0x624665c50>
Henri_Louis_Le_Chatelier,r_chemists,39,"['1850', 1, '8', '02:15']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624669dd8>
Paul-Emile_Lecoq_de_Boisbaudran,r_chemists,40,"['1838', 1, '18', '21:00']","Cognac, France, France","Cognac, Charente, Nouvelle-Aquitaine, France métropolitaine, 16100, France","('45n6932', '0w325')",<flatlib.chart.Chart object at 0x624665f28>
Jean_Marie_Lehn,r_chemists,41,"['1939', 1, '30', '07:00']","Rosheim, France","Rosheim, Molsheim, Bas-Rhin, Grand Est, France métropolitaine, 67560, France","('48n4964', '7e4699')",<flatlib.chart.Chart object at 0x624676f60>
Justus_von_Liebig,r_chemists,42,"['1803', 1, '12', '08:30']","Darmstadt, Germany","Darmstadt, Hessen, 64283, Deutschland","('49n8728', '8e6512')",<flatlib.chart.Chart object at 0x624676080>
William_Nunn_Lipscomb,r_chemists,43,"['1919', 1, '9', '10:32']","Cleveland, Ohio, United States","Cleveland, Cuyahoga County, Ohio, United States of America","('41n5052', '81w6934')",<flatlib.chart.Chart object at 0x6246837f0>
William_Worrall_Mayo,r_chemists,44,"['1819', 1, '31', '09:30']","Eccles, England, United Kingdom","Eccles, Greater Manchester, North West England, England, M30 0PW, United Kingdom","('53n4841', '2w3375')",<flatlib.chart.Chart object at 0x6246b5438>
Jacques_Lucien_Monod,r_chemists,45,"['1910', 1, '9', '06:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x6246b5358>
Kary_Banks_Mullis,r_chemists,46,"['1944', 1, '28', '13:58']","Lenoir, North Carolina, United States","Lenoir County, North Carolina, United States of America","('35n259', '77w6485')",<flatlib.chart.Chart object at 0x6246b8518>
Walther_Nernst,r_chemists,47,"['1864', 1, '25', '00:15']","Briesen, Germany","Briesen, Burg (Spreewald), Spree-Neiße, Brandenburg, Deutschland","('51n8216', '14e2378')",<flatlib.chart.Chart object at 0x6246b8048>
Severo_Ochoa,r_chemists,48,"['1905', 1, '24', '19:00']","Luarca, Spain","Ḷḷuarca, Asturias / Asturies, España","('43n5439', '6w5358')",<flatlib.chart.Chart object at 0x624683eb8>
Augustus_Stanley_III_Owsley,r_chemists,49,"['1935', 1, '19', '14:42']","Arlington, Virginia, United States","Arlington, Arlington County, Virginia, United States of America","('38n8904', '77w0842')",<flatlib.chart.Chart object at 0x6246bb860>
Linus_Carl_Pauling,r_chemists,50,"['1901', 1, '28', '22:00']","Portland, Oregon, United States","Portland, Multnomah County, Oregon, 97204, United States of America","('45n5202', '122w6742')",<flatlib.chart.Chart object at 0x6246c65f8>
Jules_Pelouze,r_chemists,51,"['1807', 1, '26', '05:00']","Valognes, France","Valognes, Cherbourg, Manche, Normandie, France métropolitaine, 50700, France","('49n509', '1w4708')",<flatlib.chart.Chart object at 0x6246c6828>
Isadore_Perlman,r_chemists,52,"['1915', 1, '12', '07:00']","Milwaukee, Wisconsin, United States","Milwaukee, Milwaukee County, Wisconsin, United States of America","('43n035', '87w9225')",<flatlib.chart.Chart object at 0x624601b00>
Paul_Pfeiffer,r_chemists,53,"['1875', 1, '21', '06:30']","Wuppertal, Germany","Wuppertal, Nordrhein-Westfalen, 42285, Deutschland","('51n264', '7e178')",<flatlib.chart.Chart object at 0x624601198>
Jean_Piccard,r_chemists,54,"['1884', 1, '28', '22:45']","Basel, Switzerland","Basel, Basel-Stadt, Switzerland","('47n5581', '7e5878')",<flatlib.chart.Chart object at 0x6246bb9b0>
Joseph_Priestley,r_chemists,56,"['1733', 1, '24', '08:00']","Birstall, United Kingdom","Birstall, Charnwood, Leicestershire, East Midlands, England, United Kingdom","('52n6788', '1w1245')",<flatlib.chart.Chart object at 0x6246030f0>
Ilya_Prigogine,r_chemists,57,"['1917', 1, '25', '21:08']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x624603048>
Francois_Raoult,r_chemists,58,"['1830', 1, '10', '09:00']","Fournes-en-Weppes, France","Fournes-en-Weppes, Lille, Nord, Hauts-de-France, France métropolitaine, 59134, France","('50n5847', '2e889')",<flatlib.chart.Chart object at 0x6245fcd68>
John_D._Roberts,r_chemists,59,"['1918', 1, '8', '08:40']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6245e6668>
Paul_Rosbaud,r_chemists,60,"['1896', 1, '18', '21:30']","Graz, Austria","Graz, Steiermark, 8011, Österreich","('47n0709', '15e4383')",<flatlib.chart.Chart object at 0x6245e6ef0>
Glenn_Seaborg,r_chemists,61,"['1912', 1, '19', '04:00']","Ishpeming, Michigan, United States","Ishpeming, Marquette County, Michigan, 49849, United States of America","('46n4885', '87w6676')",<flatlib.chart.Chart object at 0x6245fb630>
Esmond_Emerson_Snell,r_chemists,62,"['1914', 1, '22', '01:30']","Salt Lake City, Utah, United States","Salt Lake City, Utah, United States of America","('40n7596', '111w8868')",<flatlib.chart.Chart object at 0x6245fbf60>
Ernest_Solvay,r_chemists,63,"['1838', 1, '16', '17:00']","Rognon, Belgium","Rognon, Rue Haute Franchise, Hou, Rebecq-Rognon, Rebecq, Brabant wallon, Wallonie, 1430, België - Belgique - Belgien","('50n6517', '4e1069')",<flatlib.chart.Chart object at 0x6245fbdd8>
Jacobus_Henricus_Van_'t_Hoff,r_chemists,64,"['1852', 1, '30', '23:00']","Rotterdam, Netherlands","Rotterdam, Zuid-Holland, Nederland","('51n9229', '4e4632')",<flatlib.chart.Chart object at 0x6245fbda0>
Richard_Willstatter,r_chemists,67,"['1872', 1, '13', '03:00']","Karlsruhe, Germany","Karlsruhe, Baden-Württemberg, Deutschland","('49n0069', '8e4034')",<flatlib.chart.Chart object at 0x6245e39b0>
Charles_Adolphe_Wurtz,r_chemists,68,"['1817', 1, '26', '03:00']","Strasbourg, France","Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France","('48n5846', '7e7507')",<flatlib.chart.Chart object at 0x6245e3128>
Frater_Albertus,r_chemists,70,"['1911', 1, '5', '03:42']","Dresden, Germany","Dresden, Sachsen, 01069, Deutschland","('51n0493', '13e7381')",<flatlib.chart.Chart object at 0x6245da828>
James_R._Arnold,r_chemists,72,"['1923', 1, '5', '00:40']","Metuchen, New Jersey, United States","Metuchen, Middlesex County, New Jersey, United States of America","('40n5432', '74w3632')",<flatlib.chart.Chart object at 0x6245da0f0>
Eugen_Bamann,r_chemists,74,"['1900', 1, '16', '08:00']","Neuburg an der Donau, Germany","Neuburg an der Donau, Landkreis Neuburg-Schrobenhausen, Bayern, 86633, Deutschland","('48n7372', '11e1795')",<flatlib.chart.Chart object at 0x6245da3c8>
Kenneth_J._Barr,r_chemists,75,"['1926', 1, '25']","Birmingham, Alabama, United States","Birmingham, Jefferson County, Alabama, United States of America","('33n5207', '86w8024')",<flatlib.chart.Chart object at 0x6245d6f28>
Ottaviano_Bottini,r_chemists,76,"['1905', 1, '26', '16:00']","Piglio, Italy","Piglio, Frosinone, Italia","('41n8309', '13e1464')",<flatlib.chart.Chart object at 0x6245d6f98>
