name,occupation,count,birthtime,birthplace,location,point,chart
Maurizio_Stecca,r_martial-artists,362,"['1963', 3, '9', '04:00']","Santarcangelo di Romagna, Italy","Santarcangelo di Romagna, Unione di comuni Valmarecchia, Rimini, Emilia-Romagna, 47822, Italia","('44n0634', '12e4467')",<flatlib.chart.Chart object at 0x624ebb828>
Alfred_Strocchio,r_martial-artists,363,"['1929', 6, '15', '16:00']","Nice, France","Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France","('43n7009', '7e2684')",<flatlib.chart.Chart object at 0x624eb2588>
Mohamed_Tarmoul,r_martial-artists,365,"['1930', 7, '13', '04:00']","Tizi Ouzou, Algeria","Tizi Ouzou تيزي وزو, الجزائر","('36n6816', '4e2372')",<flatlib.chart.Chart object at 0x624ebb518>
Mohamed_Tedjini,r_martial-artists,366,"['1932', 6, '2', '12:30']","Oran, Algeria","Oran, دائرة وهران, وهران, الجزائر","('35n7033', '0w6493')",<flatlib.chart.Chart object at 0x624e985c0>
Tommy_Tibbs,r_martial-artists,368,"['1934', 7, '23', '08:00']","Lancaster, Ohio, United States","Lancaster, Fairfield County, Ohio, 43130, United States of America","('39n7137', '82w5993')",<flatlib.chart.Chart object at 0x624eb2048>
Christophe_Tiozzo,r_martial-artists,369,"['1963', 6, '1', '03:55']","Saint-Denis, France","Saint-Denis, Seine-Saint-Denis, Île-de-France, France métropolitaine, 93200, France","('48n9358', '2e358')",<flatlib.chart.Chart object at 0x62458f978>
Gene_Tunney,r_martial-artists,370,"['1897', 5, '25', '08:00']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62427b198>
André_Vercoutter,r_martial-artists,372,"['1923', 6, '29', '02:00']","Wormhout, France","Wormhout, Dunkerque, Nord, Hauts-de-France, France métropolitaine, 59470, France","('50n8828', '2e4687')",<flatlib.chart.Chart object at 0x62427b7b8>
Umberto_Vernaglione,r_martial-artists,373,"['1933', 4, '24', '22:30']","Taranto, Italy","Taranto, Puglia, Italia","('40n5488', '17e0806')",<flatlib.chart.Chart object at 0x623450b00>
Franco_Vescovi,r_martial-artists,374,"['1930', 1, '28', '03:30']","Colonna, Italy","Colonna, Roma Capitale, Italia","('41n8337', '12e7532')",<flatlib.chart.Chart object at 0x623450f28>
Steve_Watt,r_martial-artists,377,"['1959', 1, '26']","Glasgow, Scotland, United Kingdom","Glasgow, Glasgow City, Scotland, G2 9SA, United Kingdom","('55n861', '4w2489')",<flatlib.chart.Chart object at 0x624792470>
René_Weissmann,r_martial-artists,378,"['1930', 1, '2', '19:25']","Strasbourg, France","Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France","('48n5846', '7e7507')",<flatlib.chart.Chart object at 0x624e54908>
Albert_Yvel,r_martial-artists,380,"['1927', 2, '27', '20:00']","Algiers, Algeria","Algiers, Sidi M'Hamed, Alger, 16007, الجزائر","('36n7754', '3e0602')",<flatlib.chart.Chart object at 0x624e54c18>
Tiodmir_Zambujo,r_martial-artists,381,"['1930', 12, '12', '17:00']","Tournus, France","Tournus, Mâcon, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71700, France","('46n5636', '4e9104')",<flatlib.chart.Chart object at 0x624e4f908>
Giovanni_Zuddas,r_martial-artists,382,"['1928', 3, '1', '10:00']","Cagliari, Italy","Casteddu/Cagliari, Cagliari, Sardegna, 09124, Italia","('39n217', '9e1129')",<flatlib.chart.Chart object at 0x6244735f8>
Troy_Amos-Ross,r_martial-artists,383,"['1975', 7, '17']","Georgetown, Guyana","Georgetown, Demerara-Mahaica Region, Demerara-Mahaica, 000592, Guyana","('6n8026', '58w1629')",<flatlib.chart.Chart object at 0x624473198>
Phillip_Brooks,r_martial-artists,384,"['1978', 10, '26']","Chicago, Illinois, United States","Chicago, Cook County, Illinois, United States of America","('41n8756', '87w6244')",<flatlib.chart.Chart object at 0x624dceac8>
Edward_Fatu,r_martial-artists,386,"['1973', 5, '24']","Apia, Samoa","Apia, Samoa","('13s8344', '171w7693')",<flatlib.chart.Chart object at 0x624dc8dd8>
Salvadore_Guerrero_Jr.,r_martial-artists,388,"['1970', 10, '20']","El Paso, Texas, United States","El Paso, El Paso County, Texas, United States of America","('31n7754', '106w4646')",<flatlib.chart.Chart object at 0x624dc8b70>
Ruslan_Karaev,r_martial-artists,390,"['1983', 5, '19']","Vladikavkaz, Russia","Владикавказ, городской округ Владикавказ, Северная Осетия — Алания, Северо-Кавказский федеральный округ, Россия","('43n0246', '44e6821')",<flatlib.chart.Chart object at 0x624dc8e80>
Alexander_Karelin,r_martial-artists,391,"['1967', 9, '19']","Novosibirsk, Russia","Новосибирск, городской округ Новосибирск, Новосибирская область, Сибирский федеральный округ, 630000, Россия","('55n0282', '82e9235')",<flatlib.chart.Chart object at 0x624d90048>
Artur_Kyshenko,r_martial-artists,394,"['1986', 11, '14']","Odessa, Ukraine","Одеса, Приморський район, Одеса, Одеська область, 65026, Україна","('46n4873', '30e7393')",<flatlib.chart.Chart object at 0x624d90908>
Jeff_Lacy,r_martial-artists,395,"['1977', 5, '12']","Saint Petersburg, Florida, United States","St. Petersburg, Pinellas County, Florida, United States of America","('27n7704', '82w6695')",<flatlib.chart.Chart object at 0x624bd9080>
Melvin_Manhoef,r_martial-artists,396,"['1976', 5, '11']","Paramaribo, Suriname","Paramaribo, Distrikt Paramaribo, Paramaribo, 3001, Suriname","('5n8216', '55w177')",<flatlib.chart.Chart object at 0x624bd9470>
Egerton_Marcus,r_martial-artists,397,"['1965', 2, '2']","Georgetown, Guyana","Georgetown, Demerara-Mahaica Region, Demerara-Mahaica, 000592, Guyana","('6n8026', '58w1629')",<flatlib.chart.Chart object at 0x62484aba8>
Floyd_Mayweather_Sr.,r_martial-artists,398,"['1952', 10, '19']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62423e080>
Kofi_Sarkodie-Mensah,r_martial-artists,402,"['1981', 8, '14']","Kingston, Jamaica","Kingston, Surrey County, KINGSTON 14, Jamaika","('17n9712', '76w7928')",<flatlib.chart.Chart object at 0x62423e320>
Yoshihiro_Sato,r_martial-artists,403,"['1981', 1, '25']","Aichi District, Japan","愛知時計電機（株）, 9, 福住桑園通, 大通西15, 中央区, 札幌市, 石狩振興局, 北海道, 060-0042, 日本 (Japan)","('43n0589', '141e3341')",<flatlib.chart.Chart object at 0x624711278>
Semmy_Schilt,r_martial-artists,404,"['1973', 10, '27']","Zuidlaren, Netherlands","Zuidlaren, Tynaarlo, Drenthe, Nederland","('53n0858', '6e6967')",<flatlib.chart.Chart object at 0x624711748>
Kimbo_Slice,r_martial-artists,405,"['1974', 2, '8']","Nassau, Bahamas","Nassau, 242, Bahamas","('25n0783', '77w3383')",<flatlib.chart.Chart object at 0x624411470>
Wilde_Taylor,r_martial-artists,411,"['1990', 5, '12']","Toronto, Ontario, Canada","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","('43n6535', '79w3839')",<flatlib.chart.Chart object at 0x624411c88>
Július_Torma,r_martial-artists,413,"['1922', 3, '7']","Budapest, Hungary","Budapest, Közép-Magyarország, Magyarország","('47n4814', '19e1461')",<flatlib.chart.Chart object at 0x623361c18>
Micky_Ward,r_martial-artists,414,"['1965', 10, '4']","Lowell, Massachusetts, United States","Lowell, Middlesex County, Massachusetts, United States of America","('42n6334', '71w3162')",<flatlib.chart.Chart object at 0x624751f28>
Hornswoggle_-_Little_Bastard,r_martial-artists,416,"['1986', 5, '29']","Oshkosh, Wisconsin, United States","Oshkosh, Winnebago County, Wisconsin, United States of America","('44n0207', '88w5409')",<flatlib.chart.Chart object at 0x6247516a0>
Yoshihiro_Tajiri,r_martial-artists,417,"['1970', 9, '29']","Tokyo, Japan","東京都, 日本 (Japan)","('35n6828', '139e7595')",<flatlib.chart.Chart object at 0x625086128>
Yoshihiro_Takayama,r_martial-artists,418,"['1966', 9, '19']",Japan,日本,"('36n5748', '139e2394')",<flatlib.chart.Chart object at 0x625086f28>
A._J._Lee,r_martial-artists,419,"['1987', 3, '19']","Union City, New Jersey, United States","Union City, Hudson County, New Jersey, 07087, United States of America","('40n7795', '74w0238')",<flatlib.chart.Chart object at 0x624ad13c8>
Max_Zhang,r_martial-artists,424,"['1974', 5, '19']","Chongqing, China","重庆市, 重庆市中心, 渝中区 (Yuzhong), 重庆市, 400014, China 中国","('29n5586', '106e5493')",<flatlib.chart.Chart object at 0x624ad1fd0>
Daniel_Robin,r_martial-artists,425,"['1943', 5, '31', '07:30']","Bron, France","Bron, Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69500, France","('45n7338', '4e9092')",<flatlib.chart.Chart object at 0x624411eb8>
James_Murray,r_martial-artists,426,"['1969', 12, '7', '11:40']","Lanark, Scotland, United Kingdom","Lanark, South Lanarkshire, Scotland, ML11, United Kingdom","('55n6736', '3w778')",<flatlib.chart.Chart object at 0x62478b0f0>
Blacky_Ko_Sau-Leung,r_martial-artists,427,"['1953', 2, '22']",Taiwan,臺灣,"('23n9739', '120e982')",<flatlib.chart.Chart object at 0x624af1668>
Thomas_Hearns,r_martial-artists,431,"['1958', 10, '18']","Memphis, Tennessee, United States","Memphis, Shelby County, Tennessee, United States of America","('35n149', '90w0516')",<flatlib.chart.Chart object at 0x624af1dd8>
