name,occupation,count,birthtime,birthplace,location,point,chart
Christoph_Wilhelm_Hufeland,r_doctors,59,"['1762', 8, '12', '06:00']","Bad Langensalza, Germany","Bad Langensalza, Unstrut-Hainich-Kreis, Thüringen, 99947, Deutschland","('51n1082', '10e6464')",<flatlib.chart.Chart object at 0x6245e4160>
Thomas_Huxley,r_doctors,60,"['1825', 5, '4', '09:30']","Ealing, England, United Kingdom","Ealing, London, Greater London, England, W5 5DG, United Kingdom","('51n5127', '0w3052')",<flatlib.chart.Chart object at 0x62424dcc0>
François_Jacob,r_doctors,61,"['1920', 6, '17', '09:00']","Nancy, France","Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54100, France","('48n6937', '6e1834')",<flatlib.chart.Chart object at 0x62424d898>
Karl_Jaspers,r_doctors,62,"['1883', 2, '23', '14:30']","Oldenburg, Germany","Oldenburg, Niedersachsen, 26122, Deutschland","('53n139', '8e2146')",<flatlib.chart.Chart object at 0x62422a518>
Robert_Koch,r_doctors,64,"['1843', 12, '12', '20:33']","Clausthal-Zellerfeld, Germany","Clausthal-Zellerfeld, Landkreis Goslar, Niedersachsen, Deutschland","('51n807', '10e3364')",<flatlib.chart.Chart object at 0x62422ae48>
Bernard_Kouchner,r_doctors,65,"['1939', 11, '1', '06:00']","Avignon, France","Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84000, France","('43n9492', '4e8059')",<flatlib.chart.Chart object at 0x624613da0>
Jérôme_Lejeune,r_doctors,66,"['1926', 6, '13', '07:30']","Montrouge, France","Montrouge, Antony, Hauts-de-Seine, Île-de-France, France métropolitaine, 92120, France","('48n8189', '2e3194')",<flatlib.chart.Chart object at 0x624613470>
John_Lilly,r_doctors,67,"['1915', 1, '6', '07:30']","Saint Paul, Minnesota, United States","St. Paul, Ramsey County, Minnesota, United States of America","('44n9504', '93w1015')",<flatlib.chart.Chart object at 0x6233b2da0>
Jeffrey_MacDonald,r_doctors,68,"['1943', 10, '12', '17:53']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62346d748>
Charles_Mayo,r_doctors,69,"['1865', 7, '19', '02:00']","Rochester, Minnesota, United States","Rochester, Olmsted County, Minnesota, United States of America","('44n0234', '92w463')",<flatlib.chart.Chart object at 0x62346d0f0>
Franz_Anton_Mesmer,r_doctors,70,"['1734', 5, '23', '08:00']","Moos, Germany","Moos, Moos (VGem), Landkreis Deggendorf, Bayern, 94554, Deutschland","('48n7521', '12e9625')",<flatlib.chart.Chart object at 0x62346d208>
George_Eugene_Moore,r_doctors,71,"['1920', 2, '22', '12:45']","Minneapolis, Minnesota, United States","Minneapolis, Hennepin County, Minnesota, United States of America","('44n9773', '93w2655')",<flatlib.chart.Chart object at 0x62345b630>
Charles_Nicolle,r_doctors,72,"['1866', 9, '21', '05:00']","Rouen, France","Rouen, Seine-Maritime, Normandie, France métropolitaine, France","('49n4405', '1e094')",<flatlib.chart.Chart object at 0x62345b9b0>
Severo_Ochoa,r_doctors,73,"['1905', 9, '24', '19:00']","Luarca, Spain","Ḷḷuarca, Asturias / Asturies, España","('43n5439', '6w5358')",<flatlib.chart.Chart object at 0x623464080>
Michael_S._Palmer,r_doctors,74,"['1942', 10, '9', '16:54']","Springfield, Massachusetts, United States","Springfield, Hampden County, Massachusetts, United States of America","('42n1015', '72w5898')",<flatlib.chart.Chart object at 0x6233e2128>
Jules_Emile_Pean,r_doctors,75,"['1830', 11, '29', '01:00']","Marbou, France","Marboué, Châteaudun, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28200, France","('48n1118', '1e3311')",<flatlib.chart.Chart object at 0x6233e2e80>
Marcel_Petiot,r_doctors,76,"['1897', 1, '17', '03:00']","Auxerre, France","Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89000, France","('47n7961', '3e5706')",<flatlib.chart.Chart object at 0x623464c50>
Nikolay_Pirogov,r_doctors,77,"['1810', 11, '25', '05:03']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x10ef3fba8>
Emile_Roux,r_doctors,78,"['1853', 12, '17', '22:00']","Confolens, France","Confolens, Charente, Nouvelle-Aquitaine, France métropolitaine, 16500, France","('46n015', '0e6729')",<flatlib.chart.Chart object at 0x62434d908>
Buck_Ruxton,r_doctors,79,"['1898', 3, '27', '16:00']","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India","('18n9388', '72e8353')",<flatlib.chart.Chart object at 0x624344ef0>
Jonas_Salk,r_doctors,80,"['1914', 10, '28', '07:30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6243449b0>
Mildred_Scheel,r_doctors,81,"['1932', 12, '31', '15:00']","Cologne, Germany","Köln, Nordrhein-Westfalen, Deutschland","('50n9384', '6e96')",<flatlib.chart.Chart object at 0x6243444e0>
Margaret_Rhea_Seddon,r_doctors,83,"['1947', 11, '8', '23:30']","Murfreesboro, Tennessee, United States","Murfreesboro, Rutherford County, Tennessee, United States of America","('35n846', '86w392')",<flatlib.chart.Chart object at 0x623469978>
William_Kennedy_Smith,r_doctors,84,"['1960', 9, '4', '15:47']","Boston, Massachusetts, United States","Boston, Suffolk County, Massachusetts, United States of America","('42n3603', '71w0583')",<flatlib.chart.Chart object at 0x6242727b8>
Franz_von_Baader,r_doctors,85,"['1765', 3, '27', '03:15']","Munich, Germany","München, Bayern, Deutschland","('48n1371', '11e5754')",<flatlib.chart.Chart object at 0x623469278>
Karl_von_Basedow,r_doctors,86,"['1799', 3, '28', '14:00']","Dessau, Germany","Dessau, Sachsen-Anhalt, 06844, Deutschland","('51n8347', '12e2469')",<flatlib.chart.Chart object at 0x6242126d8>
Wilhelm_Wundt,r_doctors,88,"['1832', 8, '16', '14:30']","Mannheim, Germany","Mannheim, Baden-Württemberg, 68161, Deutschland","('49n4896', '8e4672')",<flatlib.chart.Chart object at 0x624212a58>
Alexandre_Yersin,r_doctors,89,"['1863', 9, '22', '17:00']","Aubonne, Switzerland","Aubonne, District de Morges, Vaud, 1170, Switzerland","('46n4953', '6e3916')",<flatlib.chart.Chart object at 0x62422b710>
Sally_de_Jong,r_doctors,91,"['1914', 4, '24', '14:00']","Amsterdam, Netherlands","Amsterdam, Noord-Holland, Nederland","('52n3728', '4e8936')",<flatlib.chart.Chart object at 0x62422b278>
Evan_Adams,r_doctors,93,"['1966', 11, '15']","Sliammon Reserve, Canada","Sliammon, qathet Regional District, Naut'sa mawt Tribal Council, British Columbia, V8A 0B8, Canada","('49n8978', '124w6074')",<flatlib.chart.Chart object at 0x624277cc0>
Ludvík_Souček,r_doctors,97,"['1926', 5, '17']","Prague, Czech Republic","Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika","('50n0875', '14e4213')",<flatlib.chart.Chart object at 0x6243f5160>
Jack_Kevorkian,r_doctors,99,"['1928', 5, '26']","Pontiac, Michigan, United States","Pontiac, Oakland County, Michigan, United States of America","('42n6389', '83w291')",<flatlib.chart.Chart object at 0x6243f5588>
Stefan_Wul,r_doctors,100,"['1922', 3, '27', '15:05']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x6243f5080>
František_Langer,r_doctors,101,"['1888', 3, '3']","Prague, Czech Republic","Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika","('50n0875', '14e4213')",<flatlib.chart.Chart object at 0x6242adcf8>
Rajko_Doleček,r_doctors,103,"['1925', 6, '1']","Prague, Czech Republic","Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika","('50n0875', '14e4213')",<flatlib.chart.Chart object at 0x6242add68>
Jorge_Drexler,r_doctors,104,"['1964', 9, '21']","Montevideo, Uruguay","Montevideo, Uruguay","('34s9059', '56w1914')",<flatlib.chart.Chart object at 0x6242ba898>
Selma_Ergeç,r_doctors,106,"['1978', 11, '1']","Hamm, Germany","Hamm, Nordrhein-Westfalen, 59065, Deutschland","('51n6804', '7e8152')",<flatlib.chart.Chart object at 0x6242bac18>
Avi_Ben-Abraham,r_doctors,108,"['1957', 11, '18', '14:30']","Kfar Saba, Israel","כפר סבא, מחוז המרכז, ישראל","('32n1773', '34e9075')",<flatlib.chart.Chart object at 0x624413b70>
Victor_Bonney,r_doctors,109,"['1872', 12, '17', '03:00']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x624417eb8>
Paul_Brouardel,r_doctors,110,"['1837', 2, '13', '16:00']","Saint-Quentin, France","Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02100, France","('49n8465', '3e2877')",<flatlib.chart.Chart object at 0x624417ba8>
David_M._Brown,r_doctors,111,"['1956', 4, '16']","Arlington, Virginia, United States","Arlington, Arlington County, Virginia, United States of America","('38n8904', '77w0842')",<flatlib.chart.Chart object at 0x624335860>
Louis_Chevrier,r_doctors,113,"['1877', 1, '27', '03:30']","Fontenay-le-Comte, France","Fontenay-le-Comte, Vendée, Pays de la Loire, France métropolitaine, 85200, France","('46n4661', '0w8064')",<flatlib.chart.Chart object at 0x624335f60>
Laurel_B._Clark,r_doctors,114,"['1961', 3, '10']","Ames, Iowa, United States","Ames, Story County, Iowa, United States of America","('42n0268', '93w6171')",<flatlib.chart.Chart object at 0x6246cafd0>
Allen_Roy_Dafoe,r_doctors,115,"['1883', 5, '29', '09:30']","Madoc, Ontario, Canada","Madoc, Hastings County, Central Ontario, Ontario, K1K 2K0, Canada","('44n5818', '77w5077')",<flatlib.chart.Chart object at 0x624335ac8>
Albrecht_Fleckenstein,r_doctors,116,"['1917', 5, '3', '19:30']","Aschaffenburg, Germany","Aschaffenburg, Bayern, 63739, Deutschland","('49n9741', '9e1494')",<flatlib.chart.Chart object at 0x6247d6080>
