urls,names
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=astrologers&narozeni_stat=&pohlavi=&razeni=,astrologers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=chemists&narozeni_stat=&pohlavi=&razeni=,chemists
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=cooks&narozeni_stat=&pohlavi=&razeni=,cooks
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=diplomats&narozeni_stat=&pohlavi=&razeni=,diplomats
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=doctors&narozeni_stat=&pohlavi=&razeni=,doctors
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=entrepreneurs&narozeni_stat=&pohlavi=&razeni=,entrepreneurs
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=fashion models&narozeni_stat=&pohlavi=&razeni=,fashion models
"https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=journalists, publicists&narozeni_stat=&pohlavi=&razeni=","journalists, publicists"
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=lawyers&narozeni_stat=&pohlavi=&razeni=,lawyers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=mathematicians&narozeni_stat=&pohlavi=&razeni=,mathematicians
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=philosophers&narozeni_stat=&pohlavi=&razeni=,philosophers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=physicists&narozeni_stat=&pohlavi=&razeni=,physicists
"https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=pilots, aviators&narozeni_stat=&pohlavi=&razeni=","pilots, aviators"
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=politicians&narozeni_stat=&pohlavi=&razeni=,politicians
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=porn stars&narozeni_stat=&pohlavi=&razeni=,porn stars
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=presenters&narozeni_stat=&pohlavi=&razeni=,presenters
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=presidents&narozeni_stat=&pohlavi=&razeni=,presidents
"https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=priests, theologians&narozeni_stat=&pohlavi=&razeni=","priests, theologians"
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=producers&narozeni_stat=&pohlavi=&razeni=,producers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=psychologists&narozeni_stat=&pohlavi=&razeni=,psychologists
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=rulers&narozeni_stat=&pohlavi=&razeni=,rulers
"https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=scientists, inventors&narozeni_stat=&pohlavi=&razeni=","scientists, inventors"
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=soldiers&narozeni_stat=&pohlavi=&razeni=,soldiers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=stunt performers&narozeni_stat=&pohlavi=&razeni=,stunt performers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=teachers&narozeni_stat=&pohlavi=&razeni=,teachers
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=the popes&narozeni_stat=&pohlavi=&razeni=,the popes
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=translators&narozeni_stat=&pohlavi=&razeni=,translators
https://famouspeople.astro-seek.com/filter_occupation/?narozeni_stat=&povolani=voice actors&narozeni_stat=&pohlavi=&razeni=,voice actors
